Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
COCA COLA;AGUA SAB. AQUARIUS POMELO 500 CM3;208;250;20;1440;15,38;7790895004032;890;11/05/2023
COCA COLA;AGUA SAB. AQUARIUS POMELO X  2.25 L;418,16;500;20;2900;15,59;7790895003288;65298;11/05/2023
PEJINAKIS;AGUA SAB. LEVITE ANANA 1.5 L;338;420;24;2400;18,34;7798062549225;65387;11/05/2023
PEJINAKIS;AGUA SAB. LEVITE CERO PERA 1.5 L;338;420;24;2400;18,34;7798062549539;65516;11/05/2023
PEJINAKIS;AGUA SAB. LEVITE LIMONADA CLASICA 1.5 L;56;70;25;386,4;15;7798062549843;478;11/05/2023
PEJINAKIS;AGUA SAB. LEVITE MANDARINA 1.5L;112,24;140;25;750;11,37;7798062541250;65462;11/05/2023
PEJINAKIS;AGUA SAB. LEVITE MANDARINA X 2.25 L;42,28;55;30;0;0;7798062541762;65394;11/05/2023
PEJINAKIS;AGUA SAB. LEVITE NARANJA MANGO X 2.25L;125,49;150;20;860;14,22;7798062542370;680;11/05/2023
PEJINAKIS;AGUA SAB. LEVITE NARANJA X 2.25 L;175,86;210;19;1170;10,88;7798062540291;979;11/05/2023
PEJINAKIS;AGUA SABLEVITE MZNA CERO 600 CC;19,3;30;55;0;0;7790315001153;72;11/05/2023
PEJINAKIS;AGUA SABOR. LEVITE LIMON X 2.25 L;175,86;210;19;1170;10,88;7798062541731;65516;11/05/2023
PEJINAKIS;AGUA SABORIZADA ANANA 2.25 L.;148,42;180;21;990;11,17;7790315101327;973;11/05/2023
BADIE;AGUA SABORIZADA LEVITE 1 LT NARANJA;200;350;75;1440;20;7798062544701;102;11/05/2023
BARRICA BEBIDAS;AGUA SABORIZADA LEVITE 1 LT POMELO;200;350;75;1440;20;7798062544718;101;11/05/2023
PEJINAKIS;AGUA SABORIZADA LEVITE MANGO 1,5 L.;338;420;24;2400;18,34;7790315101396;984;11/05/2023
PEJINAKIS;AGUA SABORIZADA LEVITE MANGO 500 ML;196;250;28;2700;14,8;7790315101389;992;11/05/2023
PEJINAKIS;AGUA SABORIZADA LEVITE POMELO X 2.25 L;175,86;210;19;1170;10,88;7798062540284;65445;11/05/2023
PRITTY;AGUA SALDAN;47,5;70;47;240;26,32;7791913005369;99;11/05/2023
PEJINAKIS;AGUA SER CITRUS    1.5 L;40;60;50;268,8;12;7798062542073;997;11/05/2023
PEJINAKIS;AGUA SER SIN GAS MANZANA 1.5 L;36;45;25;0;0;7798062544411;-1;11/05/2023
PEJINAKIS;AGUA SER SIN GAS NARANJA;13,84;18;30;0;0;7798062544404;2;11/05/2023
PEJINAKIS;AGUA SER SIN GAS POMELO;13,84;18;30;0;0;7798062544428;4;11/05/2023
CITRIC;AGUA SIERRA DE LOS PADRES MANZANA  1,5 L.;100;120;20;660;10;7798065730361;96;11/05/2023
COCA COLA;AGUA SIN GAS KIN 500 CC;60,33;70;15;800;10,5;7790895000201;905;11/05/2023
PEJINAKIS;AGUA SIN GAS VILLAVICENCIO PREMIUM 500 ML;38,14;50;31;263,17;15;3355;985;11/05/2023
SECCO;AGUA SIN GAS VITALISIMA 3L;25;35;40;115;15;3065;9;11/05/2023
CUNNINGTON;AGUA TONICA CUNNINGTON SIN AZUCAR 1,5 L.;200;250;25;1380;15;7790639003123;962;11/05/2023
PRITTY;AGUA TONICA MAGNA 1,5 L.;216,66;260;20;1500;15,39;7791913005604;995;11/05/2023
